,Original,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
,Total Surplus,649.3951680499999,586.5145773372379,514.9316927725962,487.8355858688175,530.3145931736561,640.3663458070096,784.4103739078226,981.7057961425629,1218.6950456955635,1493.2476271911687,1798.0377212525887
,Portion in non-ins cos,118.28235113999995,110.65853891446352,22.5,22.5,22.5,22.5,83.4273683005465,188.7086194478128,236.30507618470347,291.46951203576646,352.77590139509675
,AVR,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834,34.0083834
