Proj. Date,Product,Line,NewBuss,Amount,,Real Estate C1,,TSC1CS
2026-01-31 00:00:00,Hospital Indemnity,TSC2,N,15655.5073,,,,
2026-01-31 00:00:00,Hospital Indemnity,TSC3,E,41902.88466496725,,,,
2026-01-31 00:00:00,Hospital Indemnity,TSC4a,E,233061.07859999998,,,,
2026-01-31 00:00:00,Hospital Indemnity,TSC4a,N,2137.2564,,,,
2026-01-31 00:00:00,Hospital Indemnity,TSLR016,E,31438.2376,,,,
2026-01-31 00:00:00,Hospital Indemnity,TSLR016,N,1397.2212,,,,
2026-01-31 00:00:00,HSA,TSC1,E,3132193.7048,,,,
2026-01-31 00:00:00,HSA,TSC1,N,224173.5412,,,,
2026-01-31 00:00:00,HSA,TSC1cs,E,4181957.316919238,,,,
2026-01-31 00:00:00,HSA,TSC1cs,N,325229.356,,,,
2026-01-31 00:00:00,HSA,TSC3,E,2558840.1333,,,,
2026-01-31 00:00:00,HSA,TSC3,N,183138.1798,,,,
2026-01-31 00:00:00,Legacy Life,TSC1,E,1017504.4016111994,,,,
2026-01-31 00:00:00,Legacy Life,TSC2,E,583792.8916232497,,,,
2026-01-31 00:00:00,Legacy Life,TSC3,E,501115.0585394917,,,,
2026-01-31 00:00:00,Legacy Life,TSC4a,E,216340.61407780895,,,,
2026-01-31 00:00:00,Legacy Life,TSLR016,E,103319.37020461129,,,,
2026-01-31 00:00:00,LTC,TSC1,E,93033.00537207599,,,,
2026-01-31 00:00:00,LTC,TSC2,E,650879.3150232201,,,,
2026-01-31 00:00:00,LTC,TSC3,E,12441.55558445112,,,,
2026-01-31 00:00:00,LTC,TSC4a,E,14487.452099190004,,,,
2026-01-31 00:00:00,LTC,TSLR016,E,722291.4272062078,,,,
2026-01-31 00:00:00,Medicare Supplement,TSC1,E,1246006.4093,,,,
2026-01-31 00:00:00,Medicare Supplement,TSC1,N,112767.6957,,,,
2026-01-31 00:00:00,Medicare Supplement,TSC2,E,26771879.994688887,,,,
2026-01-31 00:00:00,Medicare Supplement,TSC2,N,325204.14349999995,,,,
2026-01-31 00:00:00,Medicare Supplement,TSC3,E,253162.96114116037,,,,
2026-01-31 00:00:00,Medicare Supplement,TSC4a,E,2442152.5742000006,,,,
2026-01-31 00:00:00,Medicare Supplement,TSC4a,N,28579.2396,,,,
2026-01-31 00:00:00,Medicare Supplement,TSC4b,E,197600,,,,
2026-01-31 00:00:00,Medicare Supplement,TSLR016,E,67776.71409999998,,,,
2026-01-31 00:00:00,MWH,TSC1,E,4390968.853344649,,,,
2026-01-31 00:00:00,MWH,TSC3,E,362037.1772400922,,,,
2026-01-31 00:00:00,NLG,TSC1,E,2088214.5334862422,,,,
2026-01-31 00:00:00,NLG,TSC2,E,8570542.158878863,,,,
2026-01-31 00:00:00,NLG,TSC3,E,289519.8970030331,,,,
2026-01-31 00:00:00,Other Health,TSC1,E,582540.3899000001,,,,
2026-01-31 00:00:00,Other Health,TSC2,E,2656715.8762,,,,
2026-01-31 00:00:00,Other Health,TSC3,E,114387.46344757506,,,,
2026-01-31 00:00:00,Other Health,TSC4a,E,40117.1817,,,,
2026-01-31 00:00:00,Other Health,TSLR016,E,84861.24390000002,,,,
2026-01-31 00:00:00,PreNeed,TSC1,E,19401768.3535,,,,
2026-01-31 00:00:00,PreNeed,TSC1,N,111347.00889999999,,,,
2026-01-31 00:00:00,PreNeed,TSC2,E,1634292.2372000003,,,,
2026-01-31 00:00:00,PreNeed,TSC2,N,12815.9087,,,,
2026-01-31 00:00:00,PreNeed,TSC3,E,6262627.872260431,,,,
2026-01-31 00:00:00,PreNeed,TSC3,N,34828.7538,,,,
2026-01-31 00:00:00,PreNeed,TSC4a,E,4310398.282738888,,,,
2026-01-31 00:00:00,PreNeed,TSC4a,N,201888.071,,,,
2026-01-31 00:00:00,STC,TSC1,E,324.9757,,,,
2026-01-31 00:00:00,STC,TSC2,E,128463.3448,,,,
2026-01-31 00:00:00,STC,TSC2,N,801.8866,,,,
2026-01-31 00:00:00,STC,TSC4a,E,4477.2453,,,,
2026-01-31 00:00:00,STC,TSC4a,N,27.9479,,,,
2026-01-31 00:00:00,STC,TSLR016,E,43.6213,,,,
2026-02-28 00:00:00,AHL,TSC2,E,20095.44848805097,,,,
